id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin
335982,2007/08,Bangalore,2008-04-18,League,BB McCullum,M. Chinnaswamy Stadium,royal challengers bangalore,kolkata knight riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,runs,140.0
335983,2007/08,Chandigarh,2008-04-19,League,MEK Hussey,Punjab Cricket Association Stadium,kings xi punjab,chennai super kings,Chennai Super Kings,bat,Chennai Super Kings,runs,33.0
335984,2007/08,Delhi,2008-04-19,League,MF Maharoof,Arun Jaitley Stadium,delhi daredevils,rajasthan royals,Rajasthan Royals,bat,Delhi Daredevils,wickets,9.0
335985,2007/08,Mumbai,2008-04-20,League,MV Boucher,Wankhede Stadium,mumbai indians,royal challengers bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,wickets,5.0
335986,2007/08,Kolkata,2008-04-20,League,DJ Hussey,Eden Gardens,kolkata knight riders,deccan chargers,Deccan Chargers,bat,Kolkata Knight Riders,wickets,5.0
335987,2007/08,Jaipur,2008-04-21,League,SR Watson,Sawai Mansingh Stadium,rajasthan royals,kings xi punjab,Kings XI Punjab,bat,Rajasthan Royals,wickets,6.0
335988,2007/08,Hyderabad,2008-04-22,League,V Sehwag,Rajiv Gandhi International Stadium,deccan chargers,delhi daredevils,Deccan Chargers,bat,Delhi Daredevils,wickets,9.0
335989,2007/08,Chennai,2008-04-23,League,ML Hayden,MA Chidambaram Stadium,chennai super kings,mumbai indians,Mumbai Indians,field,Chennai Super Kings,runs,6.0
335990,2007/08,Hyderabad,2008-04-24,League,YK Pathan,Rajiv Gandhi International Stadium,deccan chargers,rajasthan royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3.0
335991,2007/08,Chandigarh,2008-04-25,League,KC Sangakkara,Punjab Cricket Association Stadium,kings xi punjab,mumbai indians,Mumbai Indians,field,Kings XI Punjab,runs,66.0
335992,2007/08,Bangalore,2008-04-26,League,SR Watson,M. Chinnaswamy Stadium,royal challengers bangalore,rajasthan royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7.0
335993,2007/08,Chennai,2008-04-26,League,JDP Oram,MA Chidambaram Stadium,chennai super kings,kolkata knight riders,Kolkata Knight Riders,bat,Chennai Super Kings,wickets,9.0
335994,2007/08,Mumbai,2008-04-27,League,AC Gilchrist,Dr DY Patil Stadium,mumbai indians,deccan chargers,Deccan Chargers,field,Deccan Chargers,wickets,10.0
335995,2007/08,Chandigarh,2008-04-27,League,SM Katich,Punjab Cricket Association Stadium,kings xi punjab,delhi daredevils,Delhi Daredevils,bat,Kings XI Punjab,wickets,4.0
335996,2007/08,Bangalore,2008-04-28,League,MS Dhoni,M. Chinnaswamy Stadium,royal challengers bangalore,chennai super kings,Chennai Super Kings,bat,Chennai Super Kings,runs,13.0
335997,2007/08,Kolkata,2008-04-29,League,ST Jayasuriya,Eden Gardens,kolkata knight riders,mumbai indians,Kolkata Knight Riders,bat,Mumbai Indians,wickets,7.0
335998,2007/08,Delhi,2008-04-30,League,GD McGrath,Arun Jaitley Stadium,delhi daredevils,royal challengers bangalore,Royal Challengers Bangalore,field,Delhi Daredevils,runs,10.0
335999,2007/08,Hyderabad,2008-05-01,League,SE Marsh,Rajiv Gandhi International Stadium,deccan chargers,kings xi punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,7.0
336000,2007/08,Jaipur,2008-05-01,League,SA Asnodkar,Sawai Mansingh Stadium,rajasthan royals,kolkata knight riders,Rajasthan Royals,bat,Rajasthan Royals,runs,45.0
336001,2007/08,Chennai,2008-05-02,League,V Sehwag,MA Chidambaram Stadium,chennai super kings,delhi daredevils,Chennai Super Kings,bat,Delhi Daredevils,wickets,8.0
336003,2007/08,Chandigarh,2008-05-03,League,IK Pathan,Punjab Cricket Association Stadium,kings xi punjab,kolkata knight riders,Kings XI Punjab,bat,Kings XI Punjab,runs,9.0
336034,2007/08,Bangalore,2008-05-03,League,P Kumar,M. Chinnaswamy Stadium,royal challengers bangalore,deccan chargers,Deccan Chargers,field,Royal Challengers Bangalore,runs,3.0
336004,2007/08,Mumbai,2008-05-04,League,SM Pollock,Dr DY Patil Stadium,mumbai indians,delhi daredevils,Delhi Daredevils,field,Mumbai Indians,runs,29.0
336005,2007/08,Jaipur,2008-05-04,League,Sohail Tanvir,Sawai Mansingh Stadium,rajasthan royals,chennai super kings,Chennai Super Kings,bat,Rajasthan Royals,wickets,8.0
336006,2007/08,Bangalore,2008-05-05,League,S Sreesanth,M. Chinnaswamy Stadium,royal challengers bangalore,kings xi punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,6.0
336007,2007/08,Chennai,2008-05-06,League,AC Gilchrist,MA Chidambaram Stadium,chennai super kings,deccan chargers,Deccan Chargers,field,Deccan Chargers,wickets,7.0
336008,2007/08,Mumbai,2008-05-07,League,A Nehra,Dr DY Patil Stadium,mumbai indians,rajasthan royals,Mumbai Indians,field,Mumbai Indians,wickets,7.0
336009,2007/08,Delhi,2008-05-08,League,MS Dhoni,Arun Jaitley Stadium,delhi daredevils,chennai super kings,Chennai Super Kings,field,Chennai Super Kings,wickets,4.0
336010,2007/08,Kolkata,2008-05-08,League,SC Ganguly,Eden Gardens,kolkata knight riders,royal challengers bangalore,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,5.0
336011,2007/08,Jaipur,2008-05-09,League,YK Pathan,Sawai Mansingh Stadium,rajasthan royals,deccan chargers,Rajasthan Royals,field,Rajasthan Royals,wickets,8.0
336013,2007/08,Chennai,2008-05-10,League,L Balaji,MA Chidambaram Stadium,chennai super kings,kings xi punjab,Kings XI Punjab,field,Chennai Super Kings,runs,18.0
336014,2007/08,Hyderabad,2008-05-11,League,SC Ganguly,Rajiv Gandhi International Stadium,deccan chargers,kolkata knight riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,23.0
336015,2007/08,Jaipur,2008-05-11,League,SR Watson,Sawai Mansingh Stadium,rajasthan royals,delhi daredevils,Rajasthan Royals,field,Rajasthan Royals,wickets,3.0
336016,2007/08,Chandigarh,2008-05-12,League,SE Marsh,Punjab Cricket Association Stadium,kings xi punjab,royal challengers bangalore,Royal Challengers Bangalore,bat,Kings XI Punjab,wickets,9.0
